,m/z,rt,sn,score,peak area
412,353.224,6.41,0.97,1,119230.53568522134
413,353.2381,7.29,0.883,1,245256.224609375
414,353.2381,7.49,1.057,2,463838.8811848958
415,353.2381,7.88,0.903,2,981965.1087239581
416,353.2381,8.88,1.058,3,758646.4540201823
417,353.2664,15.6,9.239,3,6989386.483154297
418,353.2664,15.77,3.973,3,8178046.429036459
419,353.2664,15.99,2.767,2,8351037.837320963
420,354.2711,15.59,4.265,1,1172645.1223958333
421,354.2711,15.71,2.254,1,1412696.2381184895
422,354.2711,15.83,0.848,3,1488860.495442708
423,354.3136,12.25,1.06,1,962973.266438802
424,354.3136,12.55,2.02,2,914911.6057942708
425,354.3136,12.68,1.168,3,962973.266438802
426,354.3136,12.81,1.273,3,331330.3468017578
427,355.2076,4.89,0.74,1,397516.0266520182
428,355.2218,5.22,0.925,2,128501.7433268229
429,355.2218,5.43,0.85,3,567777.9069417317
430,355.2218,5.94,0.756,1,355369.28450520826
431,355.236,6.76,1.08,3,100291.2353515625
432,355.236,6.95,0.796,1,153869.1026611328
433,355.2502,7.99,1.003,1,1202650.3752441406
434,355.2644,10.84,0.994,1,151210.01432291666
435,355.2644,10.98,0.999,3,325426.3794759115
436,355.2786,15.6,2.286,1,199879.52718098953
437,355.2928,12.5,0.967,2,114698.408203125
438,355.3212,16.54,1.719,3,140054.53462727863
439,356.2748,5.9,0.0,1,166124.33593749997
440,357.2023,4.74,0.955,1,104997.14538574219
441,357.3166,13.84,1.373,3,201492.67716471353
442,359.2082,5.59,0.867,2,114282.2890625
443,359.2082,5.76,0.973,2,138197.59248860675
444,359.2082,6.29,1.073,2,197084.39860026044
445,359.2082,6.61,0.465,3,123075.47375488281
446,359.2082,6.76,1.778,2,302221.63252766925
447,359.3231,16.53,3.219,3,3327589.0628255205
448,360.3162,16.53,6.271,1,925893.0462239583
449,360.3162,16.65,1.813,1,996560.650472005
450,360.3306,17.21,3.295,2,747258.2194010416
451,361.2109,6.39,1.066,1,174435.05159505206
452,361.2253,7.53,0.956,3,257718.10693359375
453,361.2253,7.73,1.019,1,112077.94885253906
454,361.2253,8.3,1.088,2,113349.02209472656
455,361.3265,17.21,2.515,2,181150.51066080728
456,363.1957,5.05,0.0,3,374499.9018961588
457,363.2248,7.94,0.985,3,124882.98307291666
458,363.2538,9.36,0.848,2,251043.22477213538
459,363.2538,9.73,0.915,3,298066.12874348956
460,363.2538,10.11,0.891,3,1486645.0628255208
461,364.3306,15.22,2.25,2,227753.9423828125
462,364.3306,15.34,0.0,2,249345.24869791663
463,365.0892,5.94,16.776,3,3574919.466878255
464,365.0892,6.12,2.755,3,3787737.8403320312
465,365.2353,7.27,0.992,3,120092.87569173177
466,365.2353,7.65,0.961,2,540965.9684651692
467,365.2353,8.29,0.928,2,100800.52669270833
468,365.2353,8.42,0.965,2,309088.9462890625
469,365.2645,10.43,0.759,2,348000.0839436848
470,365.2645,10.77,1.006,2,476927.36572265625
471,365.2645,11.35,0.95,3,128455.87972005208
472,365.2791,12.08,1.009,1,383842.12089029944
473,366.0982,5.94,4.487,2,529625.9160156249
474,366.3473,15.83,2.988,3,3215376.825602213
475,366.3473,16.07,2.434,3,4655450.181315103
476,366.3473,16.21,1.873,2,4739692.552897135
477,367.0954,5.94,0.0,3,167887.8175455729
478,367.2128,5.1,0.944,2,168007.85815429688
479,367.2275,6.0,0.897,3,112174.51416015625
480,367.2275,6.46,0.973,1,121783.5478922526
481,367.2422,7.02,0.72,3,136871.61104329425
482,367.2422,7.98,0.854,1,134080.10888671875
483,367.2422,8.35,0.922,3,103264.94205729166
484,367.2716,11.51,0.947,3,113918.83902994792
485,367.2716,11.77,0.907,2,101245.27860514322
486,368.3603,16.44,4.173,3,1317449.146565755
487,368.3603,16.56,2.442,1,1594701.6826171875
488,368.3603,16.7,0.0,2,1763042.2850748696
489,368.4193,16.51,2.041,1,639260.5520833333
490,368.4193,16.68,2.074,2,994435.5626627605
491,369.2307,5.49,0.94,1,527240.319539388
492,369.2307,6.96,0.98,1,310140.43229166674
493,369.2454,7.28,0.844,1,317838.7490234375
494,369.2454,7.57,0.911,1,295553.2807617187
495,369.2454,8.85,1.69,3,372420.6652018229
496,369.2454,15.57,1.267,1,113678.748046875
497,369.2602,8.46,1.03,3,459510.27815755206
498,369.2602,9.07,0.957,3,681239.0020345051
499,369.2602,9.62,0.96,2,116530.1172688802
500,369.275,10.6,0.97,2,509524.9337565104
501,369.275,11.07,0.872,3,245820.35937499997
502,369.275,11.28,0.988,3,271128.7190755208
503,369.275,11.51,0.964,2,146446.05004882812
504,369.3636,16.45,3.625,3,326824.3803304036
505,369.4227,16.5,1.667,1,157664.04679361978
506,370.2511,6.79,1.703,3,118523.85904947916
507,370.3844,17.08,13.545,2,3750019.9163411455
508,370.3844,17.26,0.0,1,4185378.6649576817
509,370.3844,17.38,0.0,1,4187201.0709635415
510,371.215,4.77,0.864,3,502086.2150065104
511,371.215,5.23,0.883,2,105327.88118489583
512,371.2299,5.68,0.96,1,138220.52652994794
513,371.2299,6.12,0.951,3,131289.17740885416
514,371.319,16.82,2.196,1,764944.6208089193
515,371.319,16.95,3.033,3,1318795.696126302
516,371.319,17.07,0.0,1,1375240.3103841145
517,371.3784,17.08,6.585,3,873560.3701171875
518,371.3784,17.2,1.789,2,949798.6936848956
519,372.2558,4.93,2.67,3,147459.05843098956
520,373.2399,9.12,0.898,2,203935.2969970703
521,373.2399,9.44,0.913,3,114815.8068033854
522,373.2399,9.57,0.892,1,173514.17285156247
523,373.2399,9.86,0.96,3,270131.6825358073
524,375.2158,6.09,1.095,2,293355.0323893229
525,375.2308,7.23,1.057,3,788587.7856852214
526,375.2308,8.16,0.768,1,466551.2501627604
527,375.2308,8.37,0.816,2,127918.97460937499
528,375.2308,8.5,0.922,1,320936.41621907544
529,375.2458,7.97,2.822,3,1567302.0364583333
530,375.2458,9.36,1.06,3,122263.10009765625
531,375.2458,9.76,0.962,3,283810.4674479167
532,375.2458,10.06,0.989,2,215978.89632161456
533,375.2608,11.98,1.329,3,156644.20377604166
534,376.2377,7.96,2.275,2,373949.6962890625
535,376.2377,8.08,0.0,3,518948.3756510416
536,376.2678,14.59,3.841,3,661255.8032633463
537,376.2678,14.72,1.707,3,836823.3364257811
538,376.3431,16.53,4.732,3,4957469.825520834
539,376.3431,16.66,2.078,2,6279297.924479166
540,376.3431,16.79,5.401,2,6563928.300252277
541,377.2172,5.72,1.048,3,382981.41971842444
542,377.2172,6.01,1.092,3,133828.03080240884
543,377.2323,8.13,0.919,2,178810.1027018229
544,377.2323,15.14,0.0,1,125290.02864583333
545,377.2474,9.04,1.016,1,145609.11083984375
546,377.2625,10.58,0.853,1,113121.724609375
547,377.2625,10.76,0.819,3,247374.38525390625
548,377.2625,10.99,1.063,1,216098.064453125
549,377.2625,11.18,0.966,2,124236.04134114583
550,377.2775,11.73,0.937,1,111015.82336425781
551,377.2775,11.87,0.929,1,125574.220703125
552,377.2775,12.06,0.831,3,100473.82177734375
553,377.3228,14.66,1.482,2,160013.97546386716
554,377.3379,16.65,0.553,3,126619.0413411458
555,378.3505,16.51,0.0,2,145422.91487630206
556,379.2141,5.5,1.165,2,100135.14453125
