,m/z,rt,sn,score,peak area
517,389.2181,7.33,1.291,3,2263084.9837646484
518,389.2181,7.55,0.785,3,361060.9186197916
519,389.2181,7.66,1.691,3,353221.4504394531
520,389.2337,7.37,0.844,2,206705.0664876302
521,389.2493,13.96,0.0,3,122871.57063802083
522,390.2158,7.2,3.236,2,353375.0913085937
523,390.2158,7.32,0.0,2,407890.35302734363
524,391.2317,6.76,10.653,1,42369550.58170571
525,391.2317,6.98,23.843,1,48252312.41748047
526,391.2786,16.75,2.584,1,2338012.373046875
527,391.2786,16.89,0.232,2,1600711.1251627603
528,391.2786,17.02,0.141,1,1725675.3690592446
529,391.4038,6.76,0.0,1,1840768.8697916665
530,392.2345,6.76,10.554,3,7902188.083333332
531,392.2345,6.98,6.869,2,8979619.584920248
532,392.2815,16.76,2.698,2,567267.8438720703
533,393.2399,6.76,5.327,1,1104892.7698567708
534,393.2399,6.89,1.954,1,1352813.3879394531
535,393.2399,7.01,1.428,2,1426063.6998291016
536,393.3028,16.81,1.618,1,184129.28006998697
537,393.3028,16.94,0.0,1,330998.04268391925
538,394.3425,15.56,0.0,1,245458.51310221353
539,395.2584,10.26,2.644,3,272445.0662027995
540,395.2584,10.37,0.0,3,283173.6637369792
541,395.3058,10.89,3.414,1,360690.9584554036
542,395.3058,16.72,0.0,3,340343.8255208333
543,396.2557,5.93,1.322,2,254504.5244140625
544,396.3983,17.22,2.687,3,835013.6888020833
545,396.3983,17.34,2.011,3,1321319.9404296875
546,396.3983,17.47,1.542,1,1382869.3895670571
547,397.3985,17.22,2.698,1,242628.53499348953
548,398.2737,6.29,1.043,2,132348.1995442708
549,398.3374,14.0,1.694,1,1644982.932454427
550,398.3374,14.12,2.425,1,1247111.876953125
551,398.3374,14.24,1.863,2,1414048.6380208333
552,398.3374,14.36,1.708,2,1744025.123535156
553,399.2467,6.32,1.979,1,131098.59375
554,399.2467,12.75,8.345,1,3711521.375
555,399.3425,14.07,1.048,2,211772.5391438802
