,peak width in min,half intensity width in min,left width,right width,assymetric factor,integration,sn,hw,ab,peak height,ma,mb,broad rate,skewness,variance,label
7103,0.6363332949999999,0.636612229890921,0.381799977,0.254533318,0.6666666666666667,2164398.8201497397,1.69,13290.0,2.226,8456.8349609375,11202.386850934776,16316.146825182926,27518.533676117706,1.4564884289656037,0.0189652186813319,1
7104,0.121733326,0.05864823930759696,0.038733331,0.082999995,2.142857142857143,636263.5264485676,7.1339999999999995,469687.0,0.506,57176.50390625,1164831.4420834074,838232.0194493687,2003063.461532776,0.7196165807046848,0.0012139615987496306,1
7114,0.105133327,0.09442221744997792,0.033199997999999994,0.07193332899999999,2.1666666666666665,145348.07828776038,1.994,103065.0,0.706,10835.6123046875,199020.83974306128,80622.22131240505,279643.0610554663,0.4050943680897411,0.0009117644450689283,1
7115,0.426066641,0.2903125586773944,0.210266654,0.215799987,1.0263157894736843,5468002.565429688,2.399,252111.0,0.6609999999999999,107416.2890625,584785.9810528756,270610.67160098016,855396.6526538556,0.4627516396917728,0.009858067079110123,1
7116,0.437133307,0.3077469594168787,0.35413331200000003,0.082999995,0.234375,5558149.367513021,2.247,211410.0,0.7609999999999999,92414.296875,187319.89525786036,756602.5799191318,943922.4751769922,4.039093545710187,0.007498367259254764,1
7117,0.60866663,0.5521180666537858,0.509066636,0.099599994,0.19565217391304346,6236448.85184733,2.872,33268.0,2.8,20249.0703125,21179.03466562489,136683.3910372059,157862.4257028308,6.453712040948353,0.014311790634578832,1
7118,0.652933294,0.6531025815752568,0.6363332949999999,0.016599998999999997,0.026086956521739132,6286254.741658527,1.135,9020.0,9.046,5889.296875,4649.09955962593,149306.26085721314,153955.3604168391,32.11509216834807,0.015384943908811176,1
7119,0.14386665799999998,0.11911304866858698,0.05533333,0.08853332800000001,1.6,224036.8362223307,2.356,83762.0,0.715,12050.5205078125,129399.09466431286,83050.15074907307,212449.24541338586,0.6418140015934561,0.0014103189516980945,1
7128,0.199199988,0.096862096370957,0.060866663,0.13833332499999998,2.2727272727272725,747280.1587727864,3.917,193799.0,0.5379999999999999,38604.75390625,548949.2515026121,312843.9886992318,861793.2402018439,0.5698960110481964,0.0033711475243273434,1
7129,0.232399986,0.2315966579822051,0.182599989,0.049799997,0.2727272727272727,805165.1225585938,0.0,47871.0,1.723,11125.255859375,31203.463270832886,104311.48545019145,135514.94872102435,3.3429457667827385,0.0021526151074264727,1
7137,0.182599989,0.07637688363688434,0.05533333,0.127266659,2.3000000000000003,735544.2776692708,8.877,271837.0,0.449,49637.37109375,723378.177906176,589973.4202218615,1313351.5981280378,0.8155808928734128,0.002853085594289519,1
7138,0.188133322,0.18844844097419014,0.17706665600000002,0.011066666000000001,0.0625,742521.8379313152,1.28,38056.0,3.05,7159.57421875,20543.961930073598,252126.87137097862,272670.83330105216,12.272553474794893,0.0012960134235278633,1
7142,0.13279999199999998,0.07315970493820853,0.049799997,0.082999995,1.6666666666666663,881262.4183349609,3.0469999999999997,528163.0,0.524,70140.0,1432718.1256002241,720393.0654473273,2153111.191047552,0.5028156289608783,0.0012318396653224722,1
7143,0.226866653,0.20824945574081516,0.16599999,0.060866663,0.36666666666666653,1184559.513346354,2.292,101458.0,1.255,23017.46484375,75007.89784326188,209952.6500561011,284960.547899363,2.799073912120863,0.0021313034771360483,1
7144,0.381799977,0.3819785457116715,0.287733316,0.094066661,0.3269230769230769,1377955.453125,0.0,14906.0,3.509,5691.162109375,9981.990182612979,29364.030722866748,39346.02090547973,2.9417010221082123,0.005939338828596093,1
7145,0.11066666,0.09154334418348704,0.016599998999999997,0.094066661,5.666666666666668,225453.0334065755,2.4930000000000003,160705.0,0.634,17784.70703125,999500.3098479044,107594.98189478905,1107095.2917426934,0.10764877292650557,0.0005706770356103694,1
7146,0.17153332300000002,0.17139870506468516,0.13833332499999998,0.033199997999999994,0.24,296033.7159830729,0.0,41388.0,1.345,7099.33935546875,26332.029812715795,97000.22082890211,123332.2506416179,3.6837350374736584,0.0011572459840887936,1
7150,0.121733326,0.07254432195255185,0.044266664000000004,0.07746666199999999,1.75,480736.4264729817,4.096,309779.0,0.579,37710.4296875,842420.7787066592,375885.37305765937,1218306.1517643186,0.4461967018842339,0.0010669020435229053,1
7151,0.188133322,0.1880210110317712,0.16046665699999998,0.027666665,0.1724137931034483,566629.2899983723,1.19,32074.0,2.762,6034.2734375,19158.06399567736,98810.75630036324,117968.8202960406,5.157658744780159,0.0013545394042926064,1
7152,0.13833332499999998,0.0809375407756309,0.038733331,0.099599994,2.571428571428572,291641.741373698,0.0,147262.0,0.573,20371.193359375,437198.7207872236,176710.15089208688,613908.8716793105,0.4041872551088465,0.0017408218750180554,1
7154,0.188133322,0.08130450735869392,0.05533333,0.13279999199999998,2.3999999999999995,1553825.2277832031,5.9239999999999995,489515.0,0.496,92094.0,1287350.358815311,1011228.777011979,2298579.13582729,0.7855117063412063,0.0031045754314455738,1
